bed.block.order,bed.order,AB.CD.order,column.order,status,block,bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID,Notes
187,7,3,1,buffer,,C,1,A,buffer,,,,,buffer,
188,8,3,1,buffer,,C,1,B,buffer,,,,,buffer,
189,9,3,1,buffer,,C,2,A,buffer,,,,,buffer,
190,10,3,1,buffer,,C,2,B,buffer,,,,,buffer,
191,11,3,1,buffer,,C,3,A,buffer,,,,,buffer,
192,12,3,1,buffer,,C,3,B,buffer,,,,,buffer,
7,13,3,1,available,A,C,4,A,(WV x WL2) x (WL2 x BH),2_2,2,2,7,2566,
8,14,3,1,available,A,C,4,B,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,23,2595,
9,15,3,1,available,A,C,5,A,TM2,,,,87,2642,
,,,,buffer,A,C,5,B,buffer,,,,,buffer,
10,17,3,1,available,A,C,6,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,1,2509,
11,18,3,1,available,A,C,6,B,(WL2 x WV) x (CC x WL2),1_1,1,1,4,2549,
12,19,3,1,available,A,C,7,A,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,8,2452,
13,20,3,1,available,A,C,7,B,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,4,2095,
14,21,3,1,available,A,C,8,A,(WL2 x TM2) x (WL2 x BH),1_2,1,2,2,2291,
15,22,3,1,available,A,C,8,B,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,14,2252,
194,23,3,1,out-of-bounds,,C,9,A,NA,,,,,NA,
16,24,3,1,available,A,C,9,B,TM2,8,8,,63,2634,
17,25,3,1,available,A,C,10,A,(WV x WL2) x (WL2 x CC),3_1,3,1,8,2466,
18,26,3,1,available,A,C,10,B,(WL2 x WV) x (CC x WL2),1_1,1,1,7,2302,
19,27,3,1,available,A,C,11,A,(WV x TM2) x (TM2 x WL2),2_1,2,1,7,2338,
20,28,3,1,available,A,C,11,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,1,2605,dead at planting
21,29,3,1,available,A,C,12,A,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,11,2326,
22,30,3,1,available,A,C,12,B,WL1,13,13,,17,1819,
23,31,3,1,available,A,C,13,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,7,2520,
24,32,3,1,available,A,C,13,B,(DPR x TM2) x (TM2 x WL2),3_2,3,2,5,2591,
25,33,3,1,available,A,C,14,A,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,22,2150,
26,34,3,1,available,A,C,14,B,WL2,10,10,,92,1915,
27,35,3,1,available,A,C,15,A,(WV x WL2) x (WL2 x CC),3_1,3,1,11,2472,
28,36,3,1,available,A,C,15,B,LV1 x WL2,14_8,14,8,4,1981,
29,37,3,1,available,A,C,16,A,WL2 x LV1,2-A_14-A,2-A,14-A,5,2023,
30,38,3,1,available,A,C,16,B,WL2,9,9,,85,1908,
31,39,3,1,available,A,C,17,A,TM2,12,12,,83,1787,
32,40,3,1,available,A,C,17,B,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,36,2274,
33,41,3,1,available,A,C,18,A,(LV1 x WL2) x (WL2),6_16-A,6,16-A,4,2090,
34,42,3,1,available,A,C,18,B,WL2,6,6,,60,1883,added at randomization
35,43,3,1,available,A,C,19,A,(CC x WL2) x (WL2),4_13-B,4,13-B,3,2063,moved here due to rock
65,44,3,1,available,B,C,19,B,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,6,2236,
66,45,3,1,available,B,C,20,A,(DPR x TM2) x (TM2 x WL2),3_2,3,2,5,2592,
69,50,3,1,available,B,C,20,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,22,2213,
67,47,3,1,available,B,C,21,A,(WV x WL2) x (WV),20_7-3,20,3-Jul,3,2370,
195,46,3,1,2024-survivor,,C,21,B,(DPR x WL2) x (YO11 x WL2),,,,4,698,
68,49,3,1,available,B,C,22,A,TM2,9,9,,70,2638,
,,,,buffer,B,C,22,B,buffer,,,,,buffer,
70,51,3,1,available,B,C,23,A,WL2 x DPR,,,,2,2489,
72,56,3,1,available,B,C,23,B,(WV x WL2) x (WL2 x BH),2_2,2,2,6,2564,
,,,,buffer,B,C,24,A,buffer,,,,,buffer,
197,52,3,1,2024-survivor,,C,24,B,WL2,,,,23,118,
71,55,3,1,available,B,C,25,A,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,3,2505,
199,54,3,1,2024-survivor,,C,25,B,(DPR x WL2) x (WV x WL2),,,,3,1459,
73,57,3,1,available,B,C,26,A,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,27,2602,
74,58,3,1,available,B,C,26,B,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,46,2284,
75,59,3,1,available,B,C,27,A,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,8,2323,
,,,,buffer,B,C,27,B,buffer,,,,,buffer,
76,61,3,1,available,B,C,28,A,DPR x WL2,,,,2,2478,
77,62,3,1,available,B,C,28,B,(WV x TM2) x (WL2 x TM2),3_1,3,1,1,2557,
78,63,3,1,available,B,C,29,A,TM2,11,11,,76,1780,
79,66,3,1,available,B,C,29,B,(WL2 x TM2) x (WL2 x BH),1_2,1,2,1,2454,
204,71,3,1,out-of-bounds,,C,30,A,NA,,,,,NA,
201,64,3,1,2024-survivor,,C,30,B,(WL1 x WL2) x (BH x WL2),,,,10,341,
202,65,3,1,2024-survivor,,C,31,A,LV1 x TM2,,,,4,1228,
80,68,3,1,available,B,C,31,B,(LV1 x WL2) x (WL2),6_16-A,6,16-A,3,2442,
203,67,3,1,2024-survivor,,C,32,A,(YO11 x WL2) x (WL2),,,,13,939,
82,70,3,1,available,B,C,32,B,SQ3,7,7,,17,1700,
81,69,3,1,available,B,C,33,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,10,2523,
205,72,3,1,2024-survivor,,C,33,B,WL2,,,,88,183,
83,73,3,1,available,B,C,34,A,TM2,5,5,,41,1745,
84,74,3,1,available,B,C,34,B,(WV x WL2) x (WL2 x CC),3_1,3,1,8,2467,
85,75,3,1,available,B,C,35,A,SQ3,5,5,,3,2396,
86,76,3,1,available,B,C,35,B,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,4,2427,
87,77,3,1,available,B,C,36,A,WL2,,,,82,1905,added at randomization
88,78,3,1,buffer,B,C,36,B,buffer,,,,,buffer,
118,79,3,1,available,C,C,37,A,(YO11 x WL2) x (WL2),4_13-B,4,13-B,2,2381,
206,80,3,1,2024-survivor,,C,37,B,TM2 x WL2,,,,13,1289,
119,81,3,1,available,C,C,38,A,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,4,2009,
120,82,3,1,available,C,C,38,B,(WL2 x CC) x (YO11 x WL2),2_3,2,3,1,2230,
121,83,3,1,available,C,C,39,A,WL2 x CC,,,,1,2487,
122,84,3,1,available,C,C,39,B,WL2,5,5,,43,1866,
123,85,3,1,available,C,C,40,A,(CC x WL2) x (WL2),4_13-B,4,13-B,9,2069,
124,86,3,1,available,C,C,40,B,DPR,20,20,,17,2621,
125,87,3,1,available,C,C,41,A,YO11 x WL2,,,,1,2493,
126,88,3,1,available,C,C,41,B,(WV x WL2) x (WV),20_7-3,20,3-Jul,3,2574,
127,89,3,1,available,C,C,42,A,TM2,6,6,,43,1747,
207,90,3,1,buffer,C,C,42,B,buffer,,,,,buffer,
208,91,3,1,2024-survivor,,C,43,A,(LV1 x WL2) x (WL2),,,,10,73,
128,92,3,1,available,C,C,43,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,9,2522,
129,93,3,1,available,C,C,44,A,(WV x TM2) x (WL2 x TM2),3_1,3,1,2,2558,
130,94,3,1,available,C,C,44,B,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,1,2169,
131,95,3,1,available,C,C,45,A,(TM2 x WL2) x (WL1 x TM2),2_1,2,1,2,2165,
